"player_name","team_abbreviation.x","FG.","FT.","FT.ATTEMPTS","X3.PTs","Points.x","Rebounds.x","Assists.x","Steals.x","Blocks.x","Turnovers.x","team_abbreviation.y","age","player_height","player_weight","college","country","draft_year","years_in_nba","draft_round","draft_number","City","State","Team","Points.y","Rebounds.y","Assists.y","Steals.y","Blocks.y","Turnovers.y"
"Herbert Jones","NO",0.517,0.857,2.8,1.2,11.5,4.1,2.7,1.9,1.4,1.5,"NOP",24,200.66,93.439952,"Alabama","USA","2021",2,"2","35",NA,NA,"NO",9.7,3.8,2.3,0.6,1.5,1.3
"Tyler Herro","MIA",0.45,0.879,3.1,3.1,22.9,5,4.6,1.4,0,2.5,"MIA",23,195.58,88.45044,"Kentucky","USA","2019",4,"1","13",NA,NA,"MIA",20.8,5.3,4.2,0.7,0.2,2.5
"Deandre Ayton","POR",0.593,0.79,1.2,0,13.3,11.1,1.6,1.4,0.8,2,"PHX",24,213.36,113.398,"Arizona","Bahamas","2018",5,"1","1",NA,NA,"POR",18.9,10.1,1.7,0.7,0.8,1.8
"Dejounte Murray","ATL",0.449,0.855,3.4,2.2,20,4.4,5.7,1.6,0.3,2.5,"ATL",26,195.58,81.64656,"Washington","USA","2016",7,"1","29","Seattle","Washingon","ATL",20.7,6.5,6.4,1.6,0.3,2.2
"Mikal Bridges","BKN",0.474,0.856,4.4,2.1,21.8,5.9,3.9,1.1,0.4,2.4,"BKN",26,198.12,94.800728,"Villanova","USA","2018",5,"1","10",NA,NA,"BKN",25.4,4.6,3.4,1.1,0.6,1.8
"Alperen Sengün","HOU",0.567,0.636,3.9,0.7,20.2,9.1,5.6,0.9,0.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",15.6,9.1,4,1,1,2.8
"Jalen Johnson","ATL",0.595,0.759,2.2,1.1,14.1,7.3,2.4,1.1,1,2,"ATL",21,203.2,99.336648,"Duke","USA","2021",2,"1","20",NA,NA,"ATL",7.5,4.6,1.5,0.6,0.7,0.9
"Cam Thomas","BKN",0.479,0.85,5.9,2.1,26.9,3.8,2.1,0.9,0.6,1.3,"BKN",21,190.5,95.25432,"Louisiana State","Japan","2021",2,"1","27",NA,NA,"BKN",12.8,2,1.7,0.2,0.4,1.3
"Jalen Duren","DET",0.609,0.667,2.1,0,12.6,11.2,3.2,0.7,1.5,3,"DET",19,210.82,113.398,"Memphis","USA","2022",1,"1","13",NA,NA,"DET",10.2,9,1.1,0.9,0.6,1.7
"Jalen Brunson","NY",0.461,0.829,4.8,3.2,24.9,3.5,5.2,0.9,0.1,1.9,"NYK",26,187.96,86.18248,"Villanova","USA","2018",5,"2","33",NA,NA,"NY",24.2,3.7,6.5,1,0.2,2.2
"James Harden","LAC",0.442,0.838,4.5,2,14.1,4.6,6.2,1.4,0.5,2.4,"PHI",33,195.58,99.79024,"Arizona State","USA","2009",14,"1","3","Los Angeles","California","PHI",20,5.6,10.1,1.1,0.5,3.8
"Tobias Harris","PHI",0.527,0.908,3.7,1.1,18.6,6.2,2.7,0.8,0.4,1.6,"PHI",30,200.66,102.511792,"Tennessee","USA","2011",12,"1","19","Islip","New York","PHI",15.6,5.8,2.9,0.6,0.8,1.3
"Mark Williams","CHA",0.701,0.697,3.7,0,13.5,9.9,1.3,0.9,1.1,1,"CHA",21,213.36,108.86208,"Duke","USA","2022",1,"1","15",NA,NA,"CHA",12.6,9.9,0.6,0.9,1.4,1.3
"Kyle Kuzma","WAS",0.471,0.824,3.4,2.4,23.4,6.2,4.8,0.3,0.6,2.2,"WAS",27,205.74,100.243832,"Utah","USA","2017",6,"1","27",NA,NA,"WAS",21.3,7.4,3.7,0.6,0.6,2.9
"Fred VanVleet","HOU",0.389,0.881,2.4,3.1,16.6,4.1,9,0.7,0.4,1.6,"TOR",29,182.88,89.357624,"Wichita State","USA","Undrafted",0,"Undrafted","Undrafted","Rockford","Illinois","HOU",18.4,3.9,6.4,1.6,0.5,2.1
"Derrick White","BOS",0.456,0.834,3.4,2.1,13.9,3.8,5,1,0.9,1.9,"BOS",28,193.04,86.18248,"Colorado","USA","2017",6,"1","29",NA,NA,"BOS",13.2,3.5,4.1,0.8,0.7,1.3
"Jarrett Allen","CLE",0.671,0.755,4.1,0,13.9,7.7,2.3,0.6,1.3,1.9,"CLE",25,205.74,110.222856,"Texas","USA","2017",6,"1","22",NA,NA,"CLE",13.9,9.6,1.5,0.7,1.2,1.4
"Zach LaVine","CHI",0.454,0.867,4.8,2.5,22.1,5,3.4,0.9,0.2,2.1,"CHI",28,195.58,90.7184,"UCLA","USA","2014",9,"1","13","Renton","Washingon","CHI",24.9,4.4,4.3,0.8,0.3,2.6
"Jonas Valanciunas","NO",0.535,0.798,2.7,0.7,13.1,8.9,2.4,0.4,1.4,1.2,"NOP",31,210.82,120.20188,"None","Lithuania","2011",12,"1","5",NA,NA,"NO",14.2,10.6,2,0.7,0.4,1.9
