Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
82,Wednesday Jul 6,boxscore,NYM,@,CIN,W,8,3,10,51-31,1,up 2.5,Ottavino,Moreta,,3:46,N,13540,1.09,+,
83,Thursday Jul 7,boxscore,NYM,,MIA,W,10,0,,52-31,1,up 3.5,Williams,Castano,,2:51,N,30555,1.03,++,
84,Friday Jul 8,boxscore,NYM,,MIA,L,2,5,,52-32,1,up 2.5,López,Bassitt,Scott,3:37,N,25208,1.01,-,
85,Saturday Jul 9,boxscore,NYM,,MIA,W-wo,5,4,10,53-32,1,up 2.5,Holderman,Scott,,3:41,D,43336,1.06,+,
86,Sunday Jul 10,boxscore,NYM,,MIA,L,0,2,10,53-33,1,up 1.5,Bleier,Hunter,Scott,2:57,D,34774,1.03,-,
87,Monday Jul 11,boxscore,NYM,@,ATL,W,4,1,,54-33,1,up 2.5,Scherzer,Fried,Díaz,3:03,N,42925,1.45,+,
88,Tuesday Jul 12,boxscore,NYM,@,ATL,L,1,4,,54-34,1,up 1.5,Matzek,Peterson,Minter,3:04,N,42217,1.42,-,
89,Wednesday Jul 13,boxscore,NYM,@,ATL,W,7,3,,55-34,1,up 2.5,Bassitt,Morton,,3:05,D,34879,1.47,+,
90,Thursday Jul 14,boxscore,NYM,@,CHC,W,8,0,,56-34,1,up 2.5,Carrasco,Thompson,Williams,3:01,N,34051,.94,++,
91,Saturday Jul 16 (1),boxscore,NYM,@,CHC,W,2,1,11,57-34,1,up 2.5,Ottavino,Givens,Díaz,3:46,D,39219,.94,+++,
92,Saturday Jul 16 (2),boxscore,NYM,@,CHC,W,4,3,10,58-34,1,up 2.5,López,Givens,,3:33,N,34366,.86,++++,
93,Sunday Jul 17,boxscore,NYM,@,CHC,L,2,3,,58-35,1,up 2.5,Wick,Smith,Robertson,3:09,D,34424,.85,-,
94,Friday Jul 22,boxscore,NYM,,SDP,L,1,4,,58-36,1,up 1.5,Darvish,Scherzer,Rogers,3:01,N,36855,.94,--,
95,Saturday Jul 23,boxscore,NYM,,SDP,L,1,2,,58-37,1,up 0.5,Snell,Bassitt,Rogers,3:10,N,39359,.95,---,
96,Sunday Jul 24,boxscore,NYM,,SDP,W,8,5,,59-37,1,up 1.5,Smith,Musgrove,Díaz,3:39,N,35475,1.06,+,
97,Tuesday Jul 26,boxscore,NYM,,NYY,W,6,3,,60-37,1,up 2.0,Walker,Montgomery,Díaz,3:27,N,42364,.94,++,
98,Wednesday Jul 27,boxscore,NYM,,NYY,W-wo,3,2,,61-37,1,up 3.0,Lugo,Peralta,,3:09,N,43693,.90,+++,
